date,province,articles,risk_any_count,score_sum,score_avg,province_conf_avg
2016-04-03,Nghệ An,1,1,6.5,6.5,0.5833333333333333
2016-04-04,TP Hồ Chí Minh,1,0,0.0,0.0,0.8913043478260869
2016-04-04,UNKNOWN,1,1,6.0,6.0,0.0
2016-04-05,TP Hồ Chí Minh,1,1,2.5,2.5,0.9230769230769231
2016-04-05,UNKNOWN,1,1,7.5,7.5,0.0
2016-04-06,Cà Mau,1,1,2.5,2.5,0.7222222222222222
2016-04-06,TP Hồ Chí Minh,1,1,4.0,4.0,0.8888888888888888
2016-04-06,Thừa Thiên Huế,1,1,4.0,4.0,0.6428571428571428
2016-04-07,UNKNOWN,1,1,10.0,10.0,0.0
2016-04-09,TP Hồ Chí Minh,1,1,2.5,2.5,0.736842105263158
2016-04-10,UNKNOWN,1,0,0.0,0.0,0.0
2016-04-11,Khánh Hòa,1,1,4.0,4.0,0.75
2016-04-11,Kiên Giang,1,1,14.5,14.5,0.8484848484848485
2016-04-12,UNKNOWN,1,0,0.0,0.0,0.0
2016-04-13,Hà Nội,1,0,0.0,0.0,0.6875
2016-04-13,Kiên Giang,1,1,12.0,12.0,0.6875
2016-04-13,Sơn La,1,0,0.0,0.0,0.8529411764705882
2016-04-13,UNKNOWN,1,1,4.5,4.5,0.0
2016-04-13,Yên Bái,1,1,4.0,4.0,0.84375
2016-04-14,UNKNOWN,3,2,8.5,2.8333333333333335,0.0
2016-04-20,TP Hồ Chí Minh,2,1,5.0,2.5,0.7597254004576659
2016-04-21,Hòa Bình,1,1,3.5,3.5,0.5833333333333333
2016-04-23,Khánh Hòa,1,1,3.5,3.5,0.8484848484848485
2016-04-23,Quảng Bình,1,0,0.0,0.0,0.8734177215189873
2016-04-25,TP Hồ Chí Minh,1,1,7.5,7.5,0.736842105263158
2016-04-25,UNKNOWN,1,1,7.5,7.5,0.0
2016-04-26,Khánh Hòa,1,1,3.5,3.5,0.8387096774193549
2016-04-26,UNKNOWN,1,1,4.5,4.5,0.0
2016-04-28,TP Hồ Chí Minh,5,2,9.0,1.8,0.8309077040427155
2016-04-28,UNKNOWN,1,0,0.0,0.0,0.0
2016-04-28,Đà Nẵng,1,0,0.0,0.0,0.8507462686567164
2016-05-02,Nghệ An,1,1,6.0,6.0,0.6428571428571428
2016-05-04,Quảng Bình,1,1,13.0,13.0,0.736842105263158
2016-05-04,TP Hồ Chí Minh,3,3,11.0,3.6666666666666665,0.736842105263158
2016-05-04,UNKNOWN,1,0,0.0,0.0,0.0
2016-05-05,TP Hồ Chí Minh,2,2,9.5,4.75,0.7826086956521738
2016-05-05,Thừa Thiên Huế,1,0,0.0,0.0,0.7826086956521738
2016-05-05,Đà Nẵng,1,0,0.0,0.0,0.8701298701298701
2016-05-06,TP Hồ Chí Minh,1,0,0.0,0.0,0.84375
2016-05-09,Cần Thơ,1,1,9.5,9.5,0.8
2016-05-09,UNKNOWN,1,0,0.0,0.0,0.0
2016-05-10,UNKNOWN,1,0,0.0,0.0,0.0
2016-05-10,Đà Nẵng,1,0,0.0,0.0,0.7959183673469388
2016-05-11,Bà Rịa - Vũng Tàu,1,1,20.0,20.0,0.736842105263158
2016-05-11,Bình Dương,1,1,9.0,9.0,0.5833333333333333
2016-05-11,Kiên Giang,1,1,3.5,3.5,0.6428571428571428
2016-05-11,TP Hồ Chí Minh,1,0,0.0,0.0,0.736842105263158
2016-05-12,TP Hồ Chí Minh,2,2,12.5,6.25,0.7987117552334944
2016-05-12,UNKNOWN,1,0,0.0,0.0,0.0
